hotel,price,score,avg review,reviews count,Municipio,url,fecha_consulta
Balcón Del Lago,COP 96.000,"['8,3']",['Muy bien'],['6 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Las Vegas,COP 79.000,"['8,0']",['Muy bien'],['877 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Bahia Guatape,COP 170.000,"['8,8']",['Fabuloso'],['169 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Finca-hotel Montecarlo by Hope,COP 158.400,"['9,2']",['Fantástico'],['179 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hotel Le Chateau Guatape,COP 120.000,"['9,0']",['Fantástico'],['77 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Casa Hotel Los Embalses,COP 60.000,"['8,6']",['Fabuloso'],['132 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Ecolodge Bahia del Peñón,COP 300.000,"['9,2']",['Fantástico'],['514 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Aptos Jardines del Lago 4B101,COP 127.460,[],[],[],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Arvum Hotel Boutique,COP 541.880,['10'],['Excepcional'],['2 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
Hermosa casa de campo en GUATAPÉ,COP 293.320,"['9,8']",['Excepcional'],['70 comentarios'],GUATAPE,https://www.booking.com/searchresults.es.html?checkin=2023-05-23&checkout=2023-05-24&selected_currency=COP&ss=GUATAPE&ssne=GUATAPE&ssne_untouched=GUATAPE&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=1&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-05-02
